annee,amm,substance,cas,quantite_substance,classification,classification_mention,achat_etranger
2022,2090189,glyphosate,1071-83-6,5.4,Env A,,Non
2022,2090190,thiamethoxam,153719-23-4,30.9505,Env A,,Non
2022,2090194,proquinazid,189278-12-4,8.0,CMR,,Non
2022,2090199,huile de colza,8002-13-9,6922.179091,Autre,,Oui
2022,2090199,pyrethrines,8003-34-7,38.499277,Env A,,Oui
2022,2090200,huile de colza,8002-13-9,127.364041,Autre,,Oui
2022,2090200,pyrethrines,8003-34-7,0.694084,Env A,,Oui
2022,2100002,triticonazole,131983-72-7,528.49075,Env A,,Non
2022,2100004,acetamipride,135410-20-7,0.000113,Env B,,Non
2022,2100004,triticonazole,131983-72-7,0.000338,Env A,,Non
2022,2100009,thifensulfuron-methyle,79277-27-3,6625.77093,Env A,,Non
2022,2100009,tribenuron-methyle,101200-48-0,3322.83407,Env A,,Non
2022,2100012,pethoxamide,106700-29-2,69.0,Env A,,Non
2022,2100013,dimethyl polysiloxane,63148-62-9,24.876,Autre,,Oui
2022,2100014,metsulfuron-methyl,74223-64-6,443.90314,Env A,Substitution,Non
2022,2100014,thifensulfuron-methyle,79277-27-3,2206.26486,Env A,,Non
2022,2100015,thifensulfuron-methyle,79277-27-3,632.69,Env A,,Non
2022,2100016,metsulfuron-methyl,74223-64-6,403.298,Env A,Substitution,Non
2022,2100016,thifensulfuron-methyle,79277-27-3,4032.98,Env A,,Non
2022,2100018,tebuconazole,107534-96-3,38981.365,CMR,,Non
2022,2100021,folpel,133-07-3,53631.416,CMR,,Non
2022,2100023,flazasulfuron,104040-78-0,15.4,Env A,,Oui
2022,2100025,spirodiclofen,148477-71-8,0.24,CMR,Exclusion,Non
2022,2100026,cypermethrine,52315-07-8,37351.21,Env A,,Oui
2022,2100028,fluroxypyr,69377-81-7,18638.12,Env B,,Oui
2022,2100030,phosphate ferrique,10045-86-0,44416.976076,Autre,,Oui
2022,2100031,prothioconazole,178928-70-6,16.25,Env A,,Non
2022,2100032,prothioconazole,178928-70-6,775.25,Env A,,Non
2022,2100034,phenmediphame,13684-63-4,10424.32,Env A,,Non
2022,2100036,"e8,e10-dodecadiene-1-ol",33956-49-9,42.41172,Env A,,Non
2022,2100037,boscalid,188425-85-6,9831.96,Env A,,Non
2022,2100037,dimoxystrobine,149961-52-4,9831.96,CMR,,Non
2022,2100038,kaolin,1332-58-7,925146.65,Autre,,Non
2022,2100040,epoxiconazole,133855-98-8,0.01125,CMR,Exclusion,Non
2022,2100040,pyraclostrobine,175013-18-0,0.0153,Santé A,,Non
2022,2100041,phosphonate de potassium,13492-26-7,302541.50865,Autre,,Oui
2022,2100049,mandipropamide,374726-62-2,4342.5,Env A,,Non
2022,2100051,ipconazole,125225-28-7,666.5772,CMR,Exclusion,Non
2022,2100052,cyprodinyl,121552-61-2,161758.356,Env A,,Oui
2022,2100053,fluroxypyr,69377-81-7,17529.148,Env B,,Oui
2022,2100056,prothioconazole,178928-70-6,23155.1872,Env A,,Non
2022,2100056,spiroxamine,118134-30-8,43415.976,CMR,,Non
2022,2100057,prothioconazole,178928-70-6,52608.42825,Env A,,Oui
2022,2100057,trifloxystrobine,141517-21-7,26454.52392,Env A,,Oui
2022,2100059,phosphonate de potassium,13492-26-7,98744.866419,Autre,,Non
2022,2100060,phosphonate de potassium,13492-26-7,122718.066054,Autre,,Non
2022,2100061,cuivre du sulfate de cuivre,8011-63-0,196.0,Env A,Substitution,Oui
2022,2100065,metsulfuron-methyl,74223-64-6,7.48476,Env A,Substitution,Non
2022,2100065,thifensulfuron-methyle,79277-27-3,75.06774,Env A,,Non
2022,2100066,daminozide,1596-84-5,497.1225,Autre,,Oui
